# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1987 01 01 20089 20089.5 2096 11  2.333  3.000  3.667  3.667  3.333  3.333  3.667  3.333    9   15   22   22   18   18   22   18    18  18     74.0     71.6 2
1987 01 02 20090 20090.5 2096 12  1.000  2.667  2.333  2.000  3.667  2.667  1.667  2.000    4   12    9    7   22   12    6    7    10  14     72.9     70.5 2
1987 01 03 20091 20091.5 2096 13  2.000  2.667  2.333  1.667  1.333  0.667  1.333  1.333    7   12    9    6    5    3    5    5     6  12     71.5     69.1 2
1987 01 04 20092 20092.5 2096 14  1.333  0.667  0.333  0.000  0.000  0.667  1.000  1.333    5    3    2    0    0    3    4    5     3  11     71.4     69.0 2
1987 01 05 20093 20093.5 2096 15  1.333  0.333  0.667  0.333  0.000  1.000  1.000  0.667    5    2    3    2    0    4    4    3     3  10     72.7     70.3 2
1987 01 06 20094 20094.5 2096 16  0.667  1.667  0.667  1.000  0.667  0.333  0.333  1.000    3    6    3    4    3    2    2    4     3  10     71.7     69.3 2
1987 01 07 20095 20095.5 2096 17  1.333  1.667  0.667  0.333  0.333  0.667  1.333  2.667    5    6    3    2    2    3    5   12     5  10     72.1     69.7 2
1987 01 08 20096 20096.5 2096 18  2.333  1.333  1.667  1.667  1.667  2.333  2.000  2.000    9    5    6    6    6    9    7    7     7   0     70.5     68.2 2
1987 01 09 20097 20097.5 2096 19  2.000  2.000  4.000  3.333  2.333  1.667  1.000  1.000    7    7   27   18    9    6    4    4    10   0     70.3     68.0 2
1987 01 10 20098 20098.5 2096 20  1.000  1.667  2.333  2.000  2.000  1.000  1.000  0.667    4    6    9    7    7    4    4    3     6   0     69.7     67.4 2
1987 01 11 20099 20099.5 2096 21  0.333  1.333  1.333  0.667  0.667  1.000  2.333  2.667    2    5    5    3    3    4    9   12     5   0     70.3     68.0 2
1987 01 12 20100 20100.5 2096 22  2.667  3.667  2.667  2.667  1.667  2.000  1.333  1.000   12   22   12   12    6    7    5    4    10   0     71.3     69.0 2
1987 01 13 20101 20101.5 2096 23  1.667  1.000  1.333  1.333  1.333  2.333  1.667  1.667    6    4    5    5    5    9    6    6     6   0     72.1     69.7 2
1987 01 14 20102 20102.5 2096 24  1.000  1.000  1.667  0.667  2.000  1.000  2.000  0.333    4    4    6    3    7    4    7    2     5   8     73.5     71.1 2
1987 01 15 20103 20103.5 2096 25  0.333  1.000  0.667  0.333  0.333  1.333  2.333  3.000    2    4    3    2    2    5    9   15     5   9     73.9     71.5 2
1987 01 16 20104 20104.5 2096 26  2.667  2.333  1.667  3.000  3.000  3.667  3.000  1.333   12    9    6   15   15   22   15    5    12   0     73.0     70.6 2
1987 01 17 20105 20105.5 2096 27  3.000  2.667  1.000  1.333  1.333  1.667  2.000  3.667   15   12    4    5    5    6    7   22    10  12     73.1     70.7 2
1987 01 18 20106 20106.5 2097  1  3.000  1.333  1.667  2.333  0.667  1.333  1.667  2.667   15    5    6    9    3    5    6   12     8  12     72.9     70.6 2
1987 01 19 20107 20107.5 2097  2  0.667  1.000  3.000  2.333  2.000  1.333  2.000  2.000    3    4   15    9    7    5    7    7     7   9     72.3     70.0 2
1987 01 20 20108 20108.5 2097  3  1.667  3.000  3.667  3.000  3.000  4.333  4.000  2.333    6   15   22   15   15   32   27    9    18   9     71.2     68.9 2
1987 01 21 20109 20109.5 2097  4  1.667  2.000  2.333  2.667  3.333  1.333  2.333  2.667    6    7    9   12   18    5    9   12    10  13     73.6     71.3 2
1987 01 22 20110 20110.5 2097  5  2.333  2.000  2.000  1.333  2.333  2.333  3.333  2.667    9    7    7    5    9    9   18   12    10  19     76.0     73.6 2
