# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1988 02 04 20488 20488.5 2111  5  1.000  1.000  1.333  1.333  1.667  2.000  2.333  3.000    4    4    5    5    6    7    9   15     7  84    106.1    103.1 2
1988 02 05 20489 20489.5 2111  6  3.667  4.667  5.000  4.667  3.667  4.000  3.667  3.000   22   39   48   39   22   27   22   15    29  66    105.6    102.6 2
1988 02 06 20490 20490.5 2111  7  3.000  2.333  2.333  2.333  2.000  2.333  1.667  3.667   15    9    9    9    7    9    6   22    11  49    106.5    103.6 2
1988 02 07 20491 20491.5 2111  8  2.667  2.333  1.667  1.667  1.000  0.667  0.333  1.000   12    9    6    6    4    3    2    4     6  50    108.3    105.3 2
1988 02 08 20492 20492.5 2111  9  1.333  0.667  0.333  0.333  0.667  1.000  3.000  1.667    5    3    2    2    3    4   15    6     5  52    105.3    102.5 2
1988 02 09 20493 20493.5 2111 10  1.333  1.333  2.667  2.333  2.000  3.000  3.333  3.000    5    5   12    9    7   15   18   15    11  57    103.8    101.0 2
1988 02 10 20494 20494.5 2111 11  2.667  2.667  3.667  3.333  3.667  2.333  1.667  1.000   12   12   22   18   22    9    6    4    13  43    102.9    100.2 2
1988 02 11 20495 20495.5 2111 12  0.333  0.667  2.333  2.667  2.333  2.000  3.667  4.000    2    3    9   12    9    7   22   27    11  30    102.2     99.6 2
1988 02 12 20496 20496.5 2111 13  3.333  3.667  4.000  2.667  1.667  1.667  3.333  3.667   18   22   27   12    6    6   18   22    16  16    104.0    101.3 2
1988 02 13 20497 20497.5 2111 14  1.667  3.667  3.000  3.333  3.000  3.667  2.333  2.333    6   22   15   18   15   22    9    9    14  26    105.6    102.9 2
1988 02 14 20498 20498.5 2111 15  2.333  1.000  2.667  3.000  1.333  0.667  0.667  1.333    9    4   12   15    5    3    3    5     7  32    105.2    102.6 2
1988 02 15 20499 20499.5 2111 16  2.333  2.667  4.000  4.667  3.333  4.000  2.667  1.667    9   12   27   39   18   27   12    6    19  37    102.9    100.4 2
1988 02 16 20500 20500.5 2111 17  1.333  1.000  2.000  2.000  3.667  4.667  4.000  1.667    5    4    7    7   22   39   27    6    15  48    103.5    101.0 2
1988 02 17 20501 20501.5 2111 18  2.333  2.333  1.000  4.000  1.667  3.667  2.000  4.333    9    9    4   27    6   22    7   32    14  40    108.8    106.2 2
1988 02 18 20502 20502.5 2111 19  4.333  2.333  2.667  4.333  1.000  2.333  4.000  4.000   32    9   12   32    4    9   27   27    19  62    115.2    112.5 2
1988 02 19 20503 20503.5 2111 20  1.000  2.333  2.000  1.333  1.667  2.333  2.667  1.000    4    9    7    5    6    9   12    4     7  75    111.5    109.0 2
1988 02 20 20504 20504.5 2111 21  0.667  0.333  0.333  1.000  1.667  1.667  2.333  2.000    3    2    2    4    6    6    9    7     5  58    108.9    106.5 2
1988 02 21 20505 20505.5 2111 22  4.000  4.000  4.667  4.000  2.333  2.667  3.000  5.000   27   27   39   27    9   12   15   48    26  31    107.0    104.7 2
1988 02 22 20506 20506.5 2111 23  6.667  6.333  7.333  6.000  6.667  6.667  5.667  5.000  111   94  154   80  111  111   67   48    97  17    104.7    102.5 2
1988 02 23 20507 20507.5 2111 24  6.000  6.333  4.333  3.667  3.000  3.333  3.667  1.333   80   94   32   22   15   18   22    5    36  15    102.4    100.2 2
