# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1984 01 01 18993 18993.5 2055 22  4.667  4.333  4.667  3.333  4.000  4.000  3.667  3.667   39   32   39   18   27   27   22   22    28  13     87.2     84.3 2
1984 01 02 18994 18994.5 2055 23  4.000  4.000  4.000  3.333  4.667  2.667  1.667  2.000   27   27   27   18   39   12    6    7    20  21     90.4     87.4 2
1984 01 03 18995 18995.5 2055 24  3.333  3.333  4.000  2.667  4.000  4.000  3.000  2.667   18   18   27   12   27   27   15   12    20  22     92.6     89.5 2
1984 01 04 18996 18996.5 2055 25  4.000  3.667  6.000  4.000  3.000  2.667  4.333  4.000   27   22   80   27   15   12   32   27    30  24     94.1     91.0 2
1984 01 05 18997 18997.5 2055 26  5.333  5.333  3.667  2.667  4.000  2.333  2.667  2.667   56   56   22   12   27    9   12   12    26  28     91.2     88.2 2
1984 01 06 18998 18998.5 2055 27  2.667  3.000  2.667  3.333  3.333  3.333  2.333  2.333   12   15   12   18   18   18    9    9    14  38     88.5     85.6 2
1984 01 07 18999 18999.5 2056  1  1.000  2.333  1.333  1.667  1.000  1.000  1.000  1.667    4    9    5    6    4    4    4    6     5  49     89.5     86.5 2
1984 01 08 19000 19000.5 2056  2  1.000  0.333  1.333  1.333  0.333  0.667  0.333  0.333    4    2    5    5    2    3    2    2     3  50     95.5     92.3 2
1984 01 09 19001 19001.5 2056  3  0.333  1.667  0.667  1.000  0.333  1.000  1.000  2.000    2    6    3    4    2    4    4    7     4  66     97.6     94.4 2
1984 01 10 19002 19002.5 2056  4  2.333  2.667  1.333  1.333  1.333  3.333  4.000  4.000    9   12    5    5    5   18   27   27    14  58     98.5     95.3 2
1984 01 11 19003 19003.5 2056  5  3.000  2.333  1.667  2.000  1.667  1.667  3.333  3.000   15    9    6    7    6    6   18   15    10  63    100.1     96.8 2
1984 01 12 19004 19004.5 2056  6  2.333  2.000  1.333  1.000  0.667  1.667  0.667  1.667    9    7    5    4    3    6    3    6     5  67    104.5    101.1 2
1984 01 13 19005 19005.5 2056  7  0.667  1.333  1.333  0.667  3.000  3.333  2.333  3.000    3    5    5    3   15   18    9   15     9  63    105.6    102.1 2
1984 01 14 19006 19006.5 2056  8  1.333  2.000  0.667  1.000  2.667  1.000  2.000  2.000    5    7    3    4   12    4    7    7     6  60    102.6     99.2 2
1984 01 15 19007 19007.5 2056  9  1.667  1.000  2.667  0.667  1.333  1.333  1.000  1.333    6    4   12    3    5    5    4    5     6  58    101.1     97.8 2
1984 01 16 19008 19008.5 2056 10  1.000  1.667  1.333  0.667  2.000  2.333  2.000  2.000    4    6    5    3    7    9    7    7     6  60     99.8     96.6 2
1984 01 17 19009 19009.5 2056 11  3.667  2.667  1.333  1.000  0.667  0.667  1.000  0.667   22   12    5    4    3    3    4    3     7  67     98.3     95.1 2
1984 01 18 19010 19010.5 2056 12  0.000  0.667  0.333  1.333  1.667  1.667  2.333  3.333    0    3    2    5    6    6    9   18     6  64     98.1     94.9 2
1984 01 19 19011 19011.5 2056 13  4.333  3.667  3.667  3.333  3.333  3.000  2.000  3.000   32   22   22   18   18   15    7   15    19  67     96.5     93.4 2
1984 01 20 19012 19012.5 2056 14  2.667  3.333  1.667  3.333  1.000  1.000  0.667  1.333   12   18    6   18    4    4    3    5     9  91    105.6    102.2 2
