# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1989 01 01 20820 20820.5 2123 13  4.000  3.333  3.000  2.333  3.000  2.667  3.000  2.667   27   18   15    9   15   12   15   12    15 193    185.7    179.5 2
1989 01 02 20821 20821.5 2123 14  1.667  1.000  1.667  1.667  1.333  1.000  2.333  2.000    6    4    6    6    5    4    9    7     6 225    200.4    193.7 2
1989 01 03 20822 20822.5 2123 15  0.333  0.000  1.000  1.000  1.000  1.333  2.000  1.667    2    0    4    4    4    5    7    6     4 190    195.7    189.2 2
1989 01 04 20823 20823.5 2123 16  1.667  1.667  2.333  1.000  2.000  1.667  2.333  3.667    6    6    9    4    7    6    9   22     9 156    202.4    195.7 2
1989 01 05 20824 20824.5 2123 17  4.333  5.667  5.000  3.667  3.000  4.667  4.000  2.667   32   67   48   22   15   39   27   12    33 202    208.5    201.6 2
1989 01 06 20825 20825.5 2123 18  3.000  2.667  2.667  2.333  1.667  1.000  2.000  2.667   15   12   12    9    6    4    7   12    10 185    205.5    198.7 2
1989 01 07 20826 20826.5 2123 19  3.333  2.000  2.000  2.000  2.333  2.667  2.667  2.000   18    7    7    7    9   12   12    7    10 215    247.7    239.5 2
1989 01 08 20827 20827.5 2123 20  1.000  2.333  2.333  2.333  4.333  4.000  3.667  4.000    4    9    9    9   32   27   22   27    17 202    269.1    260.2 2
1989 01 09 20828 20828.5 2123 21  2.667  3.000  3.333  3.333  3.667  3.000  3.000  3.000   12   15   18   18   22   15   15   15    16 215    259.9    251.3 2
1989 01 10 20829 20829.5 2123 22  3.667  2.333  2.333  3.000  2.667  2.667  2.333  1.667   22    9    9   15   12   12    9    6    12 248    258.5    250.0 2
1989 01 11 20830 20830.5 2123 23  2.000  1.333  1.333  1.333  3.667  5.667  6.333  6.333    7    5    5    5   22   67   94   94    37 275    263.4    254.7 2
1989 01 12 20831 20831.5 2123 24  6.000  4.000  3.000  2.000  2.000  2.000  2.333  2.000   80   27   15    7    7    7    9    7    20 298    272.1    263.2 2
1989 01 13 20832 20832.5 2123 25  0.667  0.667  0.667  2.333  3.333  3.667  3.333  3.000    3    3    3    9   18   22   18   15    11 268    301.5    291.7 2
1989 01 14 20833 20833.5 2123 26  3.333  1.000  1.000  1.000  2.667  2.667  3.667  4.667   18    4    4    4   12   12   22   39    14 246    284.1    274.9 2
1989 01 15 20834 20834.5 2123 27  4.667  4.333  3.667  4.000  4.333  4.667  5.000  5.667   39   32   22   27   32   39   48   67    38 231    289.5    280.1 2
1989 01 16 20835 20835.5 2124  1  5.667  5.000  5.667  4.333  3.667  4.333  4.667  4.667   67   48   67   32   22   32   39   39    43 214    301.8    292.1 2
1989 01 17 20836 20836.5 2124  2  4.333  3.333  4.000  5.000  3.667  3.667  4.667  3.000   32   18   27   48   22   22   39   15    28 202    275.6    266.7 2
1989 01 18 20837 20837.5 2124  3  4.000  3.000  3.000  3.667  3.000  2.333  2.000  2.000   27   15   15   22   15    9    7    7    15 208    280.2    271.2 2
1989 01 19 20838 20838.5 2124  4  2.000  2.667  2.333  1.667  0.667  1.333  2.000  2.000    7   12    9    6    3    5    7    7     7 182    249.6    241.6 2
1989 01 20 20839 20839.5 2124  5  3.000  1.667  2.000  2.667  6.333  6.667  5.667  5.000   15    6    7   12   94  111   67   48    45 164    229.3    222.0 2
1989 01 21 20840 20840.5 2124  6  3.667  4.000  4.000  4.000  4.000  4.667  4.000  4.333   22   27   27   27   27   39   27   32    28 149    204.7    198.2 2
1989 01 22 20841 20841.5 2124  7  4.333  4.667  4.667  3.333  5.333  3.667  3.000  3.000   32   39   39   18   56   22   15   15    30 215    210.2    203.6 2
1989 01 23 20842 20842.5 2124  8  3.333  4.333  4.000  3.333  3.667  3.667  3.333  3.000   18   32   27   18   22   22   18   15    22 223    212.2    205.6 2
1989 01 24 20843 20843.5 2124  9  2.667  2.333  2.000  2.000  2.333  2.667  3.000  2.667   12    9    7    7    9   12   15   12    10 185    217.8    211.0 2
1989 01 25 20844 20844.5 2124 10  2.000  3.000  2.667  3.000  3.333  2.000  2.667  2.667    7   15   12   15   18    7   12   12    12 188    234.5    227.3 2
1989 01 26 20845 20845.5 2124 11  2.333  1.667  2.333  3.000  2.667  3.000  2.333  2.000    9    6    9   15   12   15    9    7    10 198    212.8    206.3 2
1989 01 27 20846 20846.5 2124 12  3.333  3.667  2.667  3.000  3.000  2.333  1.000  1.000   18   22   12   15   15    9    4    4    12 205    217.7    211.1 2
1989 01 28 20847 20847.5 2124 13  2.000  3.667  2.333  1.667  2.667  3.000  4.000  2.333    7   22    9    6   12   15   27    9    13 224    213.5    207.1 2
1989 01 29 20848 20848.5 2124 14  2.333  1.333  1.667  2.333  3.000  3.667  2.333  1.667    9    5    6    9   15   22    9    6    10 220    206.7    200.5 2
1989 01 30 20849 20849.5 2124 15  2.333  3.000  2.000  3.333  3.333  2.667  2.333  2.333    9   15    7   18   18   12    9    9    12 205    193.0    187.3 2
1989 01 31 20850 20850.5 2124 16  3.333  3.000  3.000  3.333  3.333  4.333  5.333  6.000   18   15   15   18   18   32   56   80    32 182    193.2    187.5 2
1989 02 01 20851 20851.5 2124 17  4.667  4.667  2.667  3.667  4.333  2.667  3.333  5.333   39   39   12   22   32   12   18   56    29 178    190.3    184.8 2
1989 02 02 20852 20852.5 2124 18  4.000  3.667  2.333  1.333  2.667  2.000  5.333  4.000   27   22    9    5   12    7   56   27    21 182    176.3    171.2 2
1989 02 03 20853 20853.5 2124 19  5.667  5.667  3.667  3.667  4.667  5.333  4.667  4.667   67   67   22   22   39   56   39   39    44 207    191.3    185.8 2
1989 02 04 20854 20854.5 2124 20  4.667  4.000  3.000  3.667  4.000  2.667  4.000  4.000   39   27   15   22   27   12   27   27    24 168    188.7    183.4 2
1989 02 05 20855 20855.5 2124 21  4.000  3.667  3.667  3.000  3.000  3.333  3.667  4.333   27   22   22   15   15   18   22   32    22 161    200.7    195.1 2
1989 02 06 20856 20856.5 2124 22  4.667  3.333  3.667  3.667  3.333  3.667  3.667  3.333   39   18   22   22   18   22   22   18    23 161    211.1    205.3 2
1989 02 07 20857 20857.5 2124 23  3.667  4.000  4.000  4.000  3.667  4.000  3.667  4.000   22   27   27   27   22   27   22   27    25 167    216.4    210.5 2
1989 02 08 20858 20858.5 2124 24  3.667  3.333  3.000  3.000  2.333  2.333  1.667  3.000   22   18   15   15    9    9    6   15    14 204    250.7    243.9 2
1989 02 09 20859 20859.5 2124 25  4.000  4.333  3.000  3.000  3.000  3.000  3.333  3.000   27   32   15   15   15   15   18   15    19 217    266.4    259.3 2
1989 02 10 20860 20860.5 2124 26  4.000  3.000  2.333  3.000  3.333  1.000  0.667  0.667   27   15    9   15   18    4    3    3    12 243    277.1    269.8 2
1989 02 11 20861 20861.5 2124 27  1.000  0.667  1.667  2.333  2.667  2.667  3.667  3.000    4    3    6    9   12   12   22   15    10 240    263.8    257.0 2
1989 02 12 20862 20862.5 2125  1  3.000  2.667  2.000  2.333  2.667  2.667  3.667  3.667   15   12    7    9   12   12   22   22    14 273    264.0    257.3 2
1989 02 13 20863 20863.5 2125  2  4.333  4.000  3.667  3.667  3.333  3.667  3.000  2.667   32   27   22   22   18   22   15   12    21 277    265.1    258.4 2
1989 02 14 20864 20864.5 2125  3  3.000  4.000  2.667  2.333  3.000  3.667  1.333  1.000   15   27   12    9   15   22    5    4    14 263    267.3    260.7 2
1989 02 15 20865 20865.5 2125  4  1.333  2.667  1.667  1.667  1.333  3.333  4.000  4.333    5   12    6    6    5   18   27   32    14 241    247.3    241.3 2
1989 02 16 20866 20866.5 2125  5  4.000  4.667  2.333  3.000  3.000  1.333  2.333  3.000   27   39    9   15   15    5    9   15    17 247    247.0    241.1 2
1989 02 17 20867 20867.5 2125  6  2.333  2.333  1.667  1.333  0.667  0.333  0.667  1.333    9    9    6    5    3    2    3    5     5 264    239.5    233.9 2
1989 02 18 20868 20868.5 2125  7  1.000  2.667  1.667  0.667  3.333  3.000  2.667  1.000    4   12    6    3   18   15   12    4     9 206    218.9    213.8 2
1989 02 19 20869 20869.5 2125  8  1.000  1.000  2.333  2.000  2.333  3.000  2.000  3.333    4    4    9    7    9   15    7   18     9 207    219.0    214.0 2
1989 02 20 20870 20870.5 2125  9  3.333  3.333  3.667  3.333  4.000  4.000  4.000  2.333   18   18   22   18   27   27   27    9    21 214    206.8    202.2 2
1989 02 21 20871 20871.5 2125 10  2.667  2.333  3.333  3.000  1.667  3.000  1.667  1.333   12    9   18   15    6   15    6    5    11 188    222.7    217.8 2
1989 02 22 20872 20872.5 2125 11  2.000  2.333  4.000  3.333  2.667  2.000  3.000  2.333    7    9   27   18   12    7   15    9    13 180    218.6    213.9 2
1989 02 23 20873 20873.5 2125 12  1.333  1.000  1.333  1.000  1.000  1.000  1.333  2.333    5    4    5    4    4    4    5    9     5 169    219.3    214.7 2
1989 02 24 20874 20874.5 2125 13  2.667  2.667  2.667  2.333  2.667  1.333  1.000  1.333   12   12   12    9   12    5    4    5     9 193    217.9    213.4 2
1989 02 25 20875 20875.5 2125 14  1.000  1.667  3.333  2.000  1.667  1.000  1.333  1.000    4    6   18    7    6    4    5    4     7 239    208.0    203.8 2
1989 02 26 20876 20876.5 2125 15  0.667  0.333  1.000  1.000  1.667  0.667  0.333  1.000    3    2    4    4    6    3    2    4     4 206    194.1    190.3 2
1989 02 27 20877 20877.5 2125 16  2.000  0.667  0.667  1.333  2.333  2.667  1.667  1.667    7    3    3    5    9   12    6    6     6 186    171.9    168.6 2
