# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1986 01 01 19724 19724.5 2082 24  3.333  3.667  3.667  3.333  5.000  4.000  3.333  4.000   18   22   22   18   48   27   18   27    25   0     69.3     67.0 2
1986 01 02 19725 19725.5 2082 25  3.667  4.000  3.000  3.000  4.000  3.667  2.667  2.000   22   27   15   15   27   22   12    7    18   0     69.9     67.6 2
1986 01 03 19726 19726.5 2082 26  1.667  1.667  1.333  3.333  3.333  2.667  1.333  1.667    6    6    5   18   18   12    5    6    10   0     70.7     68.4 2
1986 01 04 19727 19727.5 2082 27  2.333  1.667  0.667  0.333  1.333  1.333  1.000  1.333    9    6    3    2    5    5    4    5     5   0     71.9     69.5 2
1986 01 05 19728 19728.5 2083  1  1.667  0.667  1.333  1.000  1.333  1.000  0.667  1.000    6    3    5    4    5    4    3    4     4   0     73.1     70.7 2
1986 01 06 19729 19729.5 2083  2  1.000  0.333  0.667  0.667  2.667  1.667  4.667  6.333    4    2    3    3   12    6   39   94    20   0     74.7     72.2 2
1986 01 07 19730 19730.5 2083  3  5.667  5.667  4.000  3.667  3.333  3.333  2.667  3.667   67   67   27   22   18   18   12   22    32   0     74.0     71.6 2
1986 01 08 19731 19731.5 2083  4  4.333  2.333  1.333  2.333  1.667  2.333  2.333  1.667   32    9    5    9    6    9    9    6    11   0     73.6     71.2 2
1986 01 09 19732 19732.5 2083  5  2.333  2.000  1.000  1.333  1.333  3.000  4.667  4.333    9    7    4    5    5   15   39   32    14   0     75.2     72.7 2
1986 01 10 19733 19733.5 2083  6  4.333  3.667  1.667  2.333  2.333  0.667  1.000  0.333   32   22    6    9    9    3    4    2    11   0     74.7     72.2 2
1986 01 11 19734 19734.5 2083  7  0.667  1.667  1.333  1.000  1.000  1.000  0.333  0.667    3    6    5    4    4    4    2    3     4   0     74.4     72.0 2
1986 01 12 19735 19735.5 2083  8  2.000  1.000  2.000  1.000  0.667  0.667  1.333  1.333    7    4    7    4    3    3    5    5     5   0     73.6     71.2 2
1986 01 13 19736 19736.5 2083  9  1.000  0.000  1.000  1.000  0.667  1.000  1.000  0.667    4    0    4    4    3    4    4    3     3  14     76.8     74.3 2
1986 01 14 19737 19737.5 2083 10  1.000  0.667  0.667  1.333  1.000  1.000  1.000  0.667    4    3    3    5    4    4    4    3     4  17     79.0     76.4 2
1986 01 15 19738 19738.5 2083 11  0.333  0.667  1.333  2.000  1.333  2.333  1.667  0.333    2    3    5    7    5    9    6    2     5  14     77.7     75.2 2
1986 01 16 19739 19739.5 2083 12  0.333  0.667  1.000  0.667  0.333  0.667  0.667  0.333    2    3    4    3    2    3    3    2     3  11     78.0     75.5 2
1986 01 17 19740 19740.5 2083 13  0.000  0.667  1.000  1.333  1.333  1.667  2.333  3.000    0    3    4    5    5    6    9   15     6   0     76.9     74.4 2
1986 01 18 19741 19741.5 2083 14  2.667  2.000  2.000  3.000  1.333  0.667  1.000  1.333   12    7    7   15    5    3    4    5     7   0     75.5     73.1 2
1986 01 19 19742 19742.5 2083 15  1.667  1.333  0.667  0.667  0.667  0.667  1.000  1.667    6    5    3    3    3    3    4    6     4   0     72.5     70.2 2
1986 01 20 19743 19743.5 2083 16  3.000  3.333  3.333  2.667  3.000  1.000  2.333  4.000   15   18   18   12   15    4    9   27    15   0     71.5     69.2 2
