# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1985 01 01 19359 19359.5 2069 10  3.333  4.333  3.667  3.667  2.667  3.667  5.667  5.667   18   32   22   22   12   22   67   67    33   0     70.7     68.3 2
1985 01 02 19360 19360.5 2069 11  4.000  3.333  3.333  2.333  2.667  2.000  2.333  4.667   27   18   18    9   12    7    9   39    17   0     70.1     67.8 2
1985 01 03 19361 19361.5 2069 12  3.667  2.667  2.333  2.667  1.000  1.667  3.333  3.667   22   12    9   12    4    6   18   22    13   0     70.0     67.7 2
1985 01 04 19362 19362.5 2069 13  3.000  2.000  1.333  1.667  1.000  1.333  1.333  2.667   15    7    5    6    4    5    5   12     7   0     70.1     67.8 2
1985 01 05 19363 19363.5 2069 14  2.000  1.667  1.000  1.000  1.000  1.667  1.333  2.667    7    6    4    4    4    6    5   12     6   0     69.3     67.0 2
1985 01 06 19364 19364.5 2069 15  2.333  2.000  0.667  0.667  0.667  1.333  2.000  1.667    9    7    3    3    3    5    7    6     5   0     70.2     67.9 2
1985 01 07 19365 19365.5 2069 16  1.333  2.333  1.333  0.333  0.667  1.000  1.667  1.667    5    9    5    2    3    4    6    6     5   0     70.4     68.1 2
1985 01 08 19366 19366.5 2069 17  2.000  1.000  2.000  1.333  2.333  3.667  5.333  4.667    7    4    7    5    9   22   56   39    19  12     69.7     67.4 2
1985 01 09 19367 19367.5 2069 18  4.333  6.000  5.667  4.667  5.667  4.667  3.667  3.333   32   80   67   39   67   39   22   18    46  15     70.4     68.1 2
1985 01 10 19368 19368.5 2069 19  4.333  5.000  3.667  4.667  3.333  4.333  4.000  3.000   32   48   22   39   18   32   27   15    29   0     69.7     67.4 2
1985 01 11 19369 19369.5 2069 20  3.000  3.333  4.000  4.000  3.000  3.000  3.667  3.333   15   18   27   27   15   15   22   18    20   0     70.0     67.7 2
1985 01 12 19370 19370.5 2069 21  2.667  3.667  3.333  3.333  3.667  3.333  3.333  3.667   12   22   18   18   22   18   18   22    19  14     70.7     68.4 2
1985 01 13 19371 19371.5 2069 22  3.000  3.333  3.000  2.667  3.333  3.333  2.667  1.667   15   18   15   12   18   18   12    6    14  17     75.1     72.6 2
1985 01 14 19372 19372.5 2069 23  1.333  2.667  1.667  2.333  2.667  3.333  1.333  1.333    5   12    6    9   12   18    5    5     9  28     74.8     72.4 2
1985 01 15 19373 19373.5 2069 24  1.333  1.333  2.000  2.333  2.000  3.333  3.000  2.000    5    5    7    9    7   18   15    7     9  27     74.9     72.5 2
1985 01 16 19374 19374.5 2069 25  2.333  3.000  2.333  2.333  2.333  2.000  1.000  0.667    9   15    9    9    9    7    4    3     8  28     77.2     74.7 2
1985 01 17 19375 19375.5 2069 26  0.000  0.333  1.000  3.333  2.333  3.333  2.667  2.000    0    2    4   18    9   18   12    7     9  31     78.3     75.8 2
1985 01 18 19376 19376.5 2069 27  2.000  1.667  1.000  1.333  1.667  1.333  2.000  1.333    7    6    4    5    6    5    7    5     6  28     76.5     74.1 2
1985 01 19 19377 19377.5 2070  1  0.667  0.667  2.000  2.667  2.000  3.000  1.000  0.333    3    3    7   12    7   15    4    2     7  29     77.9     75.4 2
1985 01 20 19378 19378.5 2070  2  1.333  0.667  1.333  1.000  1.000  2.667  2.667  1.333    5    3    5    4    4   12   12    5     6  59     84.4     81.7 2
